Alpha,C_P001,C_P002,C_P003,C_P004,C_P005,C_P006,C_P007,C_P008,C_P009,C_P010,C_P011,C_P012,C_P013,C_P014,C_P015,C_P016,C_P017,C_P018,C_P019,C_P020,C_P021,C_P022,C_P023,C_P024,C_P025
degrees,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.036,0.612,0.393,-0.028,-0.292,-0.331,-0.374,-0.429,-0.389,-0.343,-0.378,-0.389,-0.362,-0.334,-0.305,-0.266,-0.257,-0.252,-0.218,-0.196,-0.199,-0.123,0.076,0.114,0.109
0,1.038,0.613,0.395,-0.031,-0.296,-0.329,-0.374,-0.428,-0.390,-0.342,-0.380,-0.390,-0.359,-0.335,-0.304,-0.269,-0.258,-0.252,-0.217,-0.197,-0.198,-0.117,0.075,0.113,0.108
-6,-0.622,0.811,1.064,0.725,0.373,0.238,0.095,0.012,-0.008,-0.003,-0.077,-0.121,-0.129,-0.123,-0.126,-0.108,-0.096,-0.093,-0.048,-0.009,0.007,0.002,0.027,0.018,0.028
-5,-0.322,0.852,1.009,0.623,0.274,0.144,0.019,-0.060,-0.071,-0.061,-0.127,-0.169,-0.173,-0.166,-0.159,-0.141,-0.127,-0.119,-0.072,-0.036,-0.021,-0.028,-0.005,-0.017,0.052
-4,-0.019,0.863,0.939,0.521,0.171,0.055,-0.048,-0.143,-0.141,-0.132,-0.182,-0.216,-0.218,-0.210,-0.200,-0.175,-0.164,-0.147,-0.099,-0.064,-0.055,-0.061,-0.039,-0.053,0.071
-3,0.337,0.852,0.840,0.404,0.058,-0.031,-0.120,-0.206,-0.197,-0.179,-0.230,-0.259,-0.251,-0.238,-0.223,-0.197,-0.186,-0.164,-0.119,-0.086,-0.083,-0.092,-0.075,-0.025,0.070
-2,0.673,0.832,0.734,0.285,-0.048,-0.125,-0.202,-0.277,-0.259,-0.232,-0.281,-0.298,-0.288,-0.268,-0.249,-0.220,-0.206,-0.185,-0.149,-0.114,-0.119,-0.128,-0.109,0.075,0.072
-1,0.876,0.767,0.592,0.157,-0.149,-0.217,-0.277,-0.336,-0.318,-0.277,-0.322,-0.331,-0.319,-0.295,-0.270,-0.237,-0.226,-0.209,-0.173,-0.148,-0.151,-0.169,0.001,0.119,0.083
0,1.016,0.651,0.405,-0.003,-0.269,-0.315,-0.357,-0.406,-0.378,-0.327,-0.369,-0.380,-0.352,-0.327,-0.297,-0.262,-0.251,-0.243,-0.210,-0.188,-0.191,-0.125,0.068,0.114,0.110
1,1.057,0.413,0.155,-0.223,-0.450,-0.463,-0.485,-0.515,-0.476,-0.417,-0.447,-0.456,-0.427,-0.386,-0.340,-0.318,-0.307,-0.307,-0.276,-0.253,-0.258,-0.044,0.061,0.074,0.074
2,1.014,0.174,-0.089,-0.404,-0.588,-0.574,-0.577,-0.599,-0.543,-0.477,-0.498,-0.500,-0.469,-0.417,-0.372,-0.359,-0.348,-0.348,-0.319,-0.302,-0.111,-0.006,0.046,0.064,0.098
3,0.851,0.031,-0.283,-0.552,-0.689,-0.659,-0.645,-0.654,-0.586,-0.517,-0.532,-0.528,-0.490,-0.439,-0.396,-0.386,-0.378,-0.383,-0.354,-0.225,-0.058,-0.015,0.035,0.061,0.108
4,0.387,-0.439,-0.650,-0.818,-0.892,-0.811,-0.774,-0.759,-0.681,-0.602,-0.599,-0.592,-0.546,-0.495,-0.454,-0.452,-0.449,-0.460,-0.291,-0.110,-0.072,-0.046,0.012,0.048,0.111
5,-0.196,-0.804,-0.972,-1.049,-1.052,-0.939,-0.877,-0.846,-0.761,-0.671,-0.661,-0.639,-0.600,-0.554,-0.516,-0.515,-0.514,-0.364,-0.210,-0.140,-0.108,-0.063,0.002,0.041,0.112
6,-0.960,-1.223,-1.332,-1.285,-1.229,-1.069,-0.987,-0.939,-0.840,-0.737,-0.732,-0.707,-0.665,-0.625,-0.584,-0.537,-0.378,-0.319,-0.250,-0.179,-0.129,-0.075,-0.005,0.038,0.111
7,-1.853,-1.644,-1.692,-1.523,-1.389,-1.196,-1.090,-1.030,-0.915,-0.811,-0.802,-0.767,-0.705,-0.601,-0.499,-0.457,-0.403,-0.359,-0.278,-0.199,-0.141,-0.084,-0.014,0.030,0.101
8,-2.879,-2.082,-2.075,-1.764,-1.556,-1.329,-1.207,-1.136,-1.005,-0.846,-0.802,-0.746,-0.682,-0.623,-0.549,-0.491,-0.429,-0.376,-0.289,-0.204,-0.145,-0.089,-0.017,0.025,0.092
9,-3.976,-2.529,-2.480,-2.024,-1.760,-1.503,-1.270,-1.145,-0.997,-0.874,-0.854,-0.801,-0.727,-0.656,-0.572,-0.512,-0.441,-0.384,-0.294,-0.207,-0.146,-0.092,-0.022,0.016,0.077
10,-4.633,-2.625,-2.964,-2.755,-1.709,-1.481,-1.317,-1.207,-1.047,-0.909,-0.872,-0.812,-0.730,-0.649,-0.563,-0.493,-0.422,-0.363,-0.275,-0.191,-0.135,-0.090,-0.036,-0.017,0.023
10.5,-4.899,-2.734,-3.234,-2.259,-1.788,-1.510,-1.330,-1.213,-1.047,-0.906,-0.865,-0.802,-0.716,-0.632,-0.542,-0.473,-0.405,-0.349,-0.256,-0.180,-0.130,-0.094,-0.044,-0.031,0.001
11,-5.190,-3.150,-3.636,-2.087,-1.878,-1.571,-1.371,-1.244,-1.064,-0.922,-0.875,-0.809,-0.719,-0.633,-0.536,-0.467,-0.396,-0.340,-0.248,-0.175,-0.133,-0.101,-0.056,-0.051,-0.027
11.5,-5.045,-3.576,-3.985,-2.283,-1.966,-1.626,-1.407,-1.274,-1.086,-0.936,-0.883,-0.809,-0.716,-0.619,-0.519,-0.451,-0.381,-0.324,-0.237,-0.171,-0.136,-0.115,-0.076,-0.082,-0.060
