,Total,Static,Dynamic
Alpha,P097,P110,
degrees,Pa,Pa,
0,266.27,0.02,266.25
0,263.74,0.03,263.71
-6,265.07,2,263.07
-5,265.09,0.85,264.24
-4,265.64,0.52,265.12
-3,264.48,0.27,264.21
-2,264.69,0.16,264.53
-1,266.58,0.08,266.5
0,260.95,0.75,260.2
1,265.12,0.19,264.93
2,264.68,-0.03,264.71
3,262.59,0.27,262.32
4,263.16,-0.87,264.03
5,261.13,-0.54,261.67
6,258.39,-0.31,258.7
7,265.33,-0.78,266.11
8,265.12,-1.07,266.19
9,261.92,-0.24,262.16
10,264.64,-0.31,264.95
10.5,261.69,-0.49,262.18
11,263.17,-0.78,263.95
11.5,263.69,-0.39,264.08
12,261.93,-0.86,262.79
12.5,262.05,-0.79,262.84
13,265.25,-0.36,265.61
13.5,262.4,-0.94,263.34
14,265.01,-0.85,265.86
14.5,265.76,-0.94,266.7
15,266.08,-0.89,266.97
15.5,267.67,-0.83,268.5
16,264.76,-0.82,265.58
15.5,267.87,-0.64,268.51
15,266.73,-0.58,267.31
14.5,264.06,-0.21,264.27
14,261.97,-1.19,263.16
13.5,263.53,-0.93,264.46
13,264.32,-0.86,265.18
12.5,261.24,-0.46,261.7
12,265.99,-0.63,266.62
11.5,265.87,-0.03,265.9
11,264.24,-0.17,264.41
10.5,263.16,-0.27,263.43
10,262.43,-0.15,262.58
9,263.77,0.04,263.73
8,264.79,-0.16,264.95
7,260.01,-0.05,260.06
6,260.61,-0.37,260.98
5,265.07,0.03,265.04
4,262.25,-0.86,263.11
3,263.64,-0.72,264.36
2,262.76,-0.27,263.03
1,264.89,-0.55,265.44
0,261.79,-0.01,261.8
-1,263.66,-0.13,263.79
-2,263.34,0.09,263.25
-3,266.5,0.05,266.45
-4,263.15,0.12,263.03
-5,264.63,0.49,264.14
-6,263.09,0.59,262.5
