Alpha,q_inf,"P_s, inf",U inf,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109
degrees,,,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
0,246.51,754.04,20.458,8.31,12.78,12.81,11.4,11.26,13.76,12.44,11.58,10.19,10.36,9.81,13.39
0,244.14,756.41,20.359,8.25,12.74,12.78,11.38,11.22,13.72,12.43,11.56,10.15,10.29,9.79,13.33
-6,243.87,756.68,20.348,10.57,11.4,11.66,10.9,11.5,13.95,14.46,12.92,11.54,12.33,12.05,11.31
-5,246.83,753.72,20.480,9.63,11.31,11.52,10.59,10.96,13.8,12.98,12.02,10.87,11.41,11.03,11.39
-4,246.77,753.78,20.477,9.05,11.71,11.85,10.75,10.87,14.06,11.92,11.76,10.53,10.97,10.5,11.93
-3,246.38,754.17,20.461,8.97,12.22,12.31,11.09,11.07,14.42,13.7,11.82,10.55,10.93,10.42,12.52
-2,244.32,756.23,20.375,8.44,12.08,12.14,10.84,10.13,14.06,13.99,11.45,10.08,10.4,9.88,12.45
-1,245.49,755.06,20.424,8.4,12.54,12.59,10.92,8.48,14.22,14.33,11.51,10.16,10.39,9.85,13.02
0,242.31,758.24,20.291,8.32,13.18,13.19,11.14,9.89,14.52,14.96,11.76,10.23,10.36,9.86,13.79
1,245.21,755.34,20.413,7.05,13.11,13.09,11,10.66,13.99,14.88,11.11,9.22,9.24,8.76,13.93
2,245.53,755.02,20.426,6.48,13.07,12.98,10.71,10.49,13.48,14.36,10.5,8.77,8.67,8.18,14.01
3,244.62,755.93,20.388,5.98,13.36,13.26,10.99,10.92,13.71,14.89,10.81,8.37,8.36,7.94,14.4
4,244.40,756.15,20.379,6.66,13.58,13.59,11.83,11.49,14.09,15.22,10.79,9.17,8.98,8.55,14.68
5,241.89,758.66,20.274,6.17,13.9,13.83,11.99,11.53,13.71,15.32,10.65,8.94,8.61,8.18,15.07
6,239.23,761.32,20.162,5.9,14.27,14.18,12.24,11.64,13.6,15.42,10.94,8.81,8.34,7.93,15.59
7,245.51,755.04,20.425,5.29,14.44,14.35,12.21,11.47,13.31,15.08,10.62,8.42,7.75,7.35,15.84
8,244.70,755.85,20.400,5.09,14.93,14.8,12.58,11.73,13.35,15.09,10.85,8.41,7.67,7.25,16.46
9,241.54,759.01,20.268,4.73,15.11,14.95,12.73,11.87,13.24,14.8,11.03,8.13,7.37,6.97,16.7
10,244.44,756.11,20.380,4.91,15.65,15.47,13.25,12.27,12.72,13.92,11.25,8.54,7.68,7.24,17.24
10.5,241.20,759.35,20.254,4.92,15.75,15.57,13.37,12.27,12.47,13.53,11.34,8.6,7.73,7.26,17.29
11,241.85,758.70,20.281,4.5,15.44,15.24,13.03,11.64,11.56,12.38,10.76,8.31,7.34,6.86,16.99
11.5,240.55,760.00,20.226,4.92,15.99,15.83,13.61,11.88,11.61,12.23,11.29,8.87,7.84,7.32,17.57
12,240.08,760.47,20.206,4.66,15.71,15.58,13.33,10.99,10.89,11.13,10.93,8.66,7.62,7.09,17.26
12.5,240.59,759.96,20.228,4.37,15.39,15.33,13.01,9.79,9.98,9.66,10.35,8.31,7.28,6.74,16.89
13,241.06,759.49,20.248,4.96,16.31,16.36,13.91,9.37,9.99,9.57,10.54,8.75,7.83,7.4,17.78
13.5,238.26,762.29,20.130,4.56,16.02,16.15,13.51,7.94,8.1,7.63,8.36,7.65,7.03,6.86,17.51
14,241.89,758.66,20.283,5.3,16.65,16.9,13.72,7.32,3.32,4.25,1.3,3.46,5.83,7.05,17.97
