Alpha,q_inf,"P_s, inf",U inf,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096
degrees,,,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
0,246.51,754.04,20.458,295.54,295.31,296.43,265.09,263.21,294.71,299.46,304.74,263.55,293.67,293.3,263.46,260.98,296.03,288.45,300.21,268.5,266.49,265.26,260.49,252.2,241.93,239,243.59,251.34,261.84,268.02,271.2,266.27,271,273.68,262.17,267.59,269.2,268.67,269.94,271.52,268.63,266.52,266.34,267.39,268.29,270.4,271.42,270.52,268.94,270
0,244.14,756.41,20.359,293.56,293.52,294.61,263.1,261.51,292.96,297.69,303,261.79,291.96,291.61,261.76,259.15,293.93,286.63,298.48,266.82,264.66,263.05,258.71,250.59,240.57,237.67,242.83,250.74,260.3,265.96,269.46,264.56,269.08,271.91,260.41,265.32,266.16,266.42,267.8,269.01,266.44,264.33,263.95,265.22,266.14,268.22,269.05,268.29,266.61,267.82
-6,243.87,756.68,20.348,294.46,294.05,295.26,263.71,262,293.48,298.21,303.43,262.34,292.85,292.27,262.19,259.7,294.6,287.26,299.05,267.41,265.45,263.63,252.42,230.02,210.43,197.91,197.79,209.9,238.55,259.36,268.82,264.99,269.81,272.94,261.03,266.03,268.1,267.24,268.68,270.04,267.24,265.13,264.83,265.78,266.95,268.93,269.79,269.1,267.47,268.63
-5,246.83,753.72,20.480,294.53,293.89,295.01,263.6,262.01,293.3,298.08,303.35,262.03,292.79,292.12,262.17,259.43,294.28,287.16,298.91,267.39,265.27,262.17,249.26,226.6,211.23,211.23,227.35,244.98,262.19,268.26,270.55,264.94,269.92,273.02,260.87,265.5,268.54,267.13,268.53,270.05,267.35,265.08,264.38,265.87,267.02,268.91,269.72,269.12,267.45,268.55
-4,246.77,753.78,20.477,295.97,295.59,296.7,264.97,263.32,294.88,299.47,304.84,263.44,294.31,293.53,263.77,261.06,296.04,288.6,300.34,268.81,265.42,258.28,240.01,221.31,222.67,240.21,257.56,264.1,270.14,270.77,272.14,266.44,271.42,274.54,262.3,266.23,268.96,267.76,269.04,270.51,267.83,265.82,264.9,266.42,267.46,269.38,270.33,269.74,268.08,269.23
-3,246.38,754.17,20.461,294.43,293.88,295.01,263.33,261.86,293.23,298.03,303.29,261.77,292.69,291.95,262.4,259.37,294.25,287.13,298.83,266.51,260,247.88,231.39,226.9,238.86,255.74,265.67,266.84,269.4,269.35,270.47,264.9,269.7,272.85,260.72,265.05,266.69,266.65,268.04,269.38,266.68,264.62,263.82,265.44,266.52,268.52,269.32,268.6,266.92,268.07
-2,244.32,756.23,20.375,295.54,295.02,296,264.52,262.69,294.33,299.07,304.36,262.91,293.77,293,263.39,260.51,295.56,288.01,299.01,263.12,251.41,237.78,231.29,238.59,251.76,264.49,270.13,268.87,270.48,270.36,271.6,265.87,270.68,273.98,261.75,265.04,267.92,266.82,268.25,269.59,266.92,264.76,263.9,265.58,266.62,268.58,269.41,268.78,267.05,268.31
-1,245.49,755.06,20.424,293.17,292.63,293.66,262.25,260.65,291.98,296.79,301.91,260.56,291.42,290.73,261.07,258.08,292.43,284.17,290.95,249.11,235.72,233.66,239,248.76,258.45,266.92,269.28,266.78,268.09,268.04,269.15,263.64,268.33,271.55,259.48,267.08,267.42,268.87,270.19,271.63,268.79,266.83,265.83,267.49,268.58,270.47,271.52,270.66,269.07,270.35
0,242.31,758.24,20.291,289.17,288.57,289.91,257.81,257.19,288.08,292.88,297.41,256.45,287.3,286.67,257.15,253.23,286.19,274.21,275.38,234.91,229.09,235.07,243.67,252.48,258.85,264.82,265.78,262.77,264.03,264,264.92,259.94,264.34,267.62,255.36,262.07,263.45,263.54,264.85,266.05,263.69,261.26,260.7,262.12,263.38,265.18,266.13,265.29,263.76,264.74
1,245.21,755.34,20.413,295.12,294.4,295.57,264,262.98,293.79,298.53,303.91,262.38,293.36,292.67,262.95,259.56,288.13,264.97,261.09,230.01,238.09,252.36,261.43,265.56,268.48,271.56,272.05,268.78,270.1,269.83,271.18,266.1,270.1,273.5,261.39,265.73,268.83,267.43,268.72,270.11,267.41,265.34,264.47,266.03,267.23,268.98,269.92,269.24,267.52,268.76
2,245.53,755.02,20.426,295.82,294.98,296.37,264.76,263.89,294.72,299.33,304.63,263.23,294.07,293.61,263.64,256.79,276.14,249.84,260.63,241.1,252.23,262.96,265.66,266.77,269.55,272.59,273.33,269.59,271.01,270.76,272.02,267.16,270.95,274.34,262.17,265.15,268.28,266.82,268.3,269.31,266.83,264.66,263.91,265.47,266.61,268.21,269.42,268.69,266.99,268.04
3,244.62,755.93,20.388,293.59,292.77,293.96,262.28,261.76,292.44,297.17,302.31,260.79,291.88,291.67,258.63,242.29,259.48,245.51,266.99,249.6,257.92,263.46,263.8,264.68,267.13,270.18,271.05,267.35,268.56,268.44,269.46,264.71,268.65,271.92,259.83,263.47,267.12,265.11,266.64,267.63,265.14,263.05,262.28,263.76,264.94,266.7,267.79,266.92,265.3,266.47
